0,1,2,3,4,5,6,7,8,9,10
tropical fruit,soda,margarine,napkins,,,,,,,
whole milk,canned beer,,,,,,,,,
citrus fruit,beef,,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
other vegetables,meat spreads,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
dessert,yogurt,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
candles,other vegetables,,,,,,,,,
beef,waffles,detergent,shopping bags,,,,,,,
whipped/sour cream,whipped/sour cream,fruit/vegetable juice,,,,,,,,
soda,misc. beverages,,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
canned beer,canned beer,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
chicken,root vegetables,yogurt,,,,,,,,
newspapers,bottled beer,,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
brown bread,other vegetables,,,,,,,,,
onions,pastry,,,,,,,,,
canned fish,brown bread,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
long life bakery product,soda,soda,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
ham,whole milk,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
napkins,root vegetables,sliced cheese,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
sliced cheese,candy,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chewing gum,condensed milk,,,,,,,,,
canned beer,chocolate,,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
frozen meals,tidbits,,,,,,,,,
waffles,spread cheese,,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
margarine,bottled water,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
white bread,nuts/prunes,,,,,,,,,
sausage,other vegetables,,,,,,,,,
grapes,honey,,,,,,,,,
butter,yogurt,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
tropical fruit,chewing gum,,,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
canned beer,curd,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
beef,other vegetables,,,,,,,,,
berries,other vegetables,,,,,,,,,
waffles,pudding powder,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
meat,rolls/buns,,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
margarine,soda,UHT-milk,,,,,,,,
whole milk,ham,,,,,,,,,
cat food,butter,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
canned fish,cat food,,,,,,,,,
pork,onions,,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
berries,pastry,,,,,,,,,
specialty chocolate,misc. beverages,,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
frankfurter,canned beer,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
sausage,other vegetables,,,,,,,,,
dessert,photo/film,,,,,,,,,
cream cheese ,butter milk,,,,,,,,,
candles,whole milk,,,,,,,,,
curd,rolls/buns,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
bottled water,pastry,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
newspapers,syrup,,,,,,,,,
newspapers,napkins,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
chicken,artif. sweetener,,,,,,,,,
sausage,pasta,,,,,,,,,
sausage,newspapers,newspapers,,,,,,,,
chicken,baking powder,,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
tropical fruit,beef,cream cheese ,frozen vegetables,,,,,,,
meat,dessert,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,soda,,,,,,,,,
soda,other vegetables,,,,,,,,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
sausage,bottled beer,,,,,,,,,
soft cheese,coffee,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
onions,white wine,,,,,,,,,
newspapers,newspapers,,,,,,,,,
coffee,other vegetables,,,,,,,,,
frankfurter,pastry,salt,,,,,,,,
beef,cream cheese ,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
berries,canned fish,waffles,,,,,,,,
yogurt,pip fruit,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
pastry,whipped/sour cream,,,,,,,,,
long life bakery product,soda,,,,,,,,,
chicken,dog food,,,,,,,,,
sausage,cake bar,,,,,,,,,
pastry,cat food,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
canned beer,bottled water,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
butter,soft cheese,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
onions,pip fruit,dog food,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
specialty chocolate,soft cheese,,,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
long life bakery product,yogurt,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
other vegetables,sausage,tropical fruit,whipped/sour cream,salty snack,oil,,,,,
whole milk,baking powder,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
yogurt,specialty bar,,,,,,,,,
whole milk,yogurt,,,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
tropical fruit,mustard,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
soda,UHT-milk,dessert,napkins,,,,,,,
bottled water,brown bread,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
ice cream,margarine,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
root vegetables,margarine,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
dessert,mayonnaise,,,,,,,,,
butter,coffee,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
prosecco,onions,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
pork,detergent,bottled beer,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,house keeping products,,,,,,,,,
onions,specialty vegetables,,,,,,,,,
beef,pasta,,,,,,,,,
yogurt,coffee,,,,,,,,,
white bread,shopping bags,,,,,,,,,
pork,rolls/buns,,,,,,,,,
chocolate,hard cheese,,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
curd,canned beer,,,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
whole milk,sugar,,,,,,,,,
berries,shopping bags,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
pastry,whole milk,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
yogurt,domestic eggs,yogurt,,,,,,,,
frankfurter,margarine,,,,,,,,,
beef,condensed milk,,,,,,,,,
white bread,hard cheese,,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
pip fruit,rolls/buns,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pork,rolls/buns,,,,,,,,,
berries,margarine,,,,,,,,,
white wine,soft cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
tropical fruit,salt,,,,,,,,,
curd,coffee,,,,,,,,,
butter milk,whole milk,brandy,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
brown bread,candy,chocolate,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
long life bakery product,waffles,canned vegetables,soft cheese,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
meat,bottled water,soda,,,,,,,,
other vegetables,seasonal products,bottled water,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
beef,domestic eggs,,,,,,,,,
yogurt,pot plants,,,,,,,,,
nuts/prunes,vinegar,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
oil,waffles,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,salty snack,,,,,,,,,
beef,pip fruit,,,,,,,,,
bottled beer,herbs,,,,,,,,,
bottled water,grapes,,,,,,,,,
berries,butter,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
sausage,butter,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
herbs,white bread,,,,,,,,,
whole milk,soups,,,,,,,,,
sausage,napkins,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
light bulbs,whole milk,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
onions,whole milk,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
meat,rolls/buns,,,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
hamburger meat,seasonal products,,,,,,,,,
domestic eggs,hard cheese,,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
sausage,sparkling wine,,,,,,,,,
tropical fruit,butter,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
frankfurter,specialty chocolate,brown bread,herbs,rolls/buns,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
soda,soda,,,,,,,,,
canned beer,turkey,,,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
curd,citrus fruit,,,,,,,,,
herbs,canned beer,,,,,,,,,
whole milk,bottled water,,,,,,,,,
grapes,other vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
whole milk,margarine,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
specialty bar,whole milk,cling film/bags,,,,,,,,
ham,whole milk,,,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
pickled vegetables,other vegetables,,,,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
newspapers,flour,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,tea,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
photo/film,vinegar,,,,,,,,,
soda,red/blush wine,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
butter milk,snack products,packaged fruit/vegetables,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
pork,yogurt,soda,,,,,,,,
soda,bottled water,,,,,,,,,
beef,grapes,,,,,,,,,
pastry,misc. beverages,flour,,,,,,,,
condensed milk,fruit/vegetable juice,white wine,specialty fat,,,,,,,
pastry,soft cheese,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
sausage,specialty fat,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
soda,soda,,,,,,,,,
beef,beef,margarine,,,,,,,,
curd,cereals,,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
oil,curd,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
canned beer,long life bakery product,rolls/buns,,,,,,,,
jam,root vegetables,,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
soft cheese,soda,,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
onions,root vegetables,bottled water,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
curd,other vegetables,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
sausage,salty snack,,,,,,,,,
berries,newspapers,,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
chicken,soda,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
brown bread,herbs,,,,,,,,,
pastry,bottled water,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,bottled water,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
root vegetables,cleaner,,,,,,,,,
dessert,butter,,,,,,,,,
white bread,dog food,potato products,,,,,,,,
butter milk,beverages,butter,,,,,,,,
coffee,UHT-milk,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
citrus fruit,curd,specialty chocolate,canned beer,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
white bread,seasonal products,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
bottled water,coffee,curd,,,,,,,,
root vegetables,coffee,sliced cheese,newspapers,,,,,,,
beef,butter milk,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
rolls/buns,chicken,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
rolls/buns,cereals,,,,,,,,,
soda,pastry,,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
grapes,misc. beverages,,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
rolls/buns,white bread,,,,,,,,,
bottled water,grapes,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
root vegetables,white bread,,,,,,,,,
pork,tropical fruit,,,,,,,,,
hamburger meat,tropical fruit,bottled water,whipped/sour cream,flour,,,,,,
UHT-milk,whole milk,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
ice cream,sliced cheese,,,,,,,,,
rolls/buns,canned beer,tropical fruit,chewing gum,margarine,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
frankfurter,bottled water,,,,,,,,,
whole milk,flour,,,,,,,,,
butter,hygiene articles,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
frozen meals,bottled water,,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
pork,hard cheese,,,,,,,,,
whole milk,coffee,,,,,,,,,
beef,whole milk,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
tropical fruit,white bread,red/blush wine,,,,,,,,
beef,canned beer,margarine,,,,,,,,
hamburger meat,cookware,pastry,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
canned beer,yogurt,tropical fruit,whole milk,,,,,,,
frozen dessert,soda,,,,,,,,,
pork,hamburger meat,,,,,,,,,
canned beer,meat,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
pastry,berries,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
other vegetables,brown bread,,,,,,,,,
beef,white wine,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
soda,soft cheese,,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
other vegetables,yogurt,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
berries,sliced cheese,,,,,,,,,
sausage,bottled beer,,,,,,,,,
dessert,newspapers,white bread,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
other vegetables,margarine,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
sausage,canned beer,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
sausage,processed cheese,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
yogurt,flour,,,,,,,,,
mayonnaise,brown bread,,,,,,,,,
pork,yogurt,coffee,,,,,,,,
chicken,ice cream,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
other vegetables,brown bread,hard cheese,soda,roll products ,newspapers,,,,,
whole milk,whipped/sour cream,,,,,,,,,
candy,long life bakery product,,,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
pork,dessert,,,,,,,,,
whole milk,bottled water,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
cake bar,butter milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
specialty bar,soda,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
root vegetables,candles,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
artif. sweetener,curd,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
rolls/buns,frozen meals,,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
UHT-milk,yogurt,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
ice cream,yogurt,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
roll products ,rice,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,bottled beer,,,,,,,,,
onions,coffee,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
bottled water,whole milk,,,,,,,,,
root vegetables,grapes,,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
sugar,brown bread,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
pork,other vegetables,,,,,,,,,
yogurt,butter,whole milk,,,,,,,,
other vegetables,cereals,,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
pet care,rolls/buns,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
other vegetables,pastry,shopping bags,,,,,,,,
sausage,whole milk,,,,,,,,,
pastry,domestic eggs,dish cleaner,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
tropical fruit,sausage,,,,,,,,,
hamburger meat,sausage,margarine,tropical fruit,pickled vegetables,,,,,,
napkins,pastry,,,,,,,,,
meat,citrus fruit,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
canned beer,whole milk,soda,,,,,,,,
pet care,butter milk,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
bottled water,meat spreads,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
oil,margarine,,,,,,,,,
pet care,pork,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
male cosmetics,canned beer,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
yogurt,frozen vegetables,,,,,,,,,
root vegetables,white wine,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
sausage,white wine,whole milk,beverages,semi-finished bread,napkins,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
semi-finished bread,dish cleaner,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
chicken,dessert,,,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
frankfurter,beverages,,,,,,,,,
meat,rolls/buns,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
soda,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
frozen chicken,white wine,,,,,,,,,
rolls/buns,dog food,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
brown bread,margarine,,,,,,,,,
soft cheese,coffee,,,,,,,,,
sausage,frozen meals,instant coffee,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
root vegetables,coffee,,,,,,,,,
pip fruit,curd cheese,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
sausage,beef,salty snack,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
pork,pastry,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
root vegetables,yogurt,newspapers,,,,,,,,
bottled beer,oil,,,,,,,,,
ham,dessert,yogurt,,,,,,,,
sausage,processed cheese,,,,,,,,,
